title,author,owner,available,borrow_date
"Reluctant Astronaut, The",Blincoe,CCW,true,
"Castle of the Living Dead (Castello Dei Morti Vivi, Il)",Kohn,CCW,true,5/7/2022
"Myriad of Lights (Lights of Ten Thousand Homes, The) (Wanjia denghuo)",Howgate,JSA,true,
American Adobo,Cosham,JSA,false,5/13/2022
The Private Life of Deer,Garbott,CCW,true,2/26/2023
Territories ,Cuthbertson,SDU,true,
"Company of Wolves, The",Josefsen,CCW,false,
"Story of Adele H., The (Histoire d'Adèle H., L')",Matevushev,JSA,false,9/3/2022
The Butterfly Effect,Chatel,CCW,true,8/7/2022
Grumpier Old Men,Ainslee,CCW,false,
"Father, The (Pedar)",Atack,JSA,false,
"Evening Star, The",Christofe,SDU,false,7/9/2022
Indiana Jones and the Temple of Doom,De la Harpe,CCW,false,3/25/2023
Earth vs. The Spider,Landeaux,JSA,false,
Rhythm of a Crime (Ritam zlocina),Pantling,CCW,false,2/19/2022
Zerophilia,Iseton,SDU,false,
Suddenly (Tan de Repente),Coggan,CCW,false,2/19/2023
Attack Force Z (a.k.a. The Z Men) (Z-tzu te kung tui),McWhin,CCW,false,4/12/2023
Casino Jack and the United States of Money,McArd,SDU,true,4/5/2023
Homework,Cockburn,JSA,false,1/23/2023
Burton and Taylor,Moakson,CCW,true,1/14/2023
Shock and Awe: The Story of Electricity,Allsop,CCW,false,6/18/2022
Film ist.,Gudgion,JSA,true,4/21/2023
Dragon Hunter,Niblock,CCW,false,
Cat Chaser,Marshland,SDU,true,2/12/2023
Suddenly (Tan de Repente),Cron,CCW,false,1/28/2023
Hell to Eternity,Grissett,SDU,false,8/10/2022
Big Business,Gipps,CCW,true,9/22/2022
"Good Wife, The",Davydenko,CCW,false,10/12/2022
Cast a Giant Shadow,Anan,CCW,true,
I Am Love (Io sono l'amore),Walenta,SDU,false,
Tuff Turf,Matthessen,SDU,false,11/19/2022
It Runs in the Family (My Summer Story),Shury,JSA,true,8/28/2022
Someone Else's America,Vautier,JSA,false,
"City, The (Ciudad, La)",Pimlott,CCW,false,11/23/2022
Coast of Death,Temple,SDU,false,2/1/2023
The Rebel,Fripp,SDU,false,4/28/2022
Ten Inch Hero,Bains,JSA,false,
"Singing Detective, The",Lanmeid,SDU,true,7/20/2022
"Odd Couple II, The",Crecy,JSA,false,
"Home of Dark Butterflies, The (Tummien perhosten koti)",Meriott,JSA,false,2/14/2022
Taxi Blues,Scargill,SDU,true,3/2/2023
"Lady with the Dog, The (Dama s sobachkoy)",Wasselin,SDU,true,6/27/2022
Those Daring Young Men in Their Jaunty Jalopies,Tremonte,CCW,true,5/8/2022
After Death (Posle smerti),O'Currigan,JSA,true,7/14/2022
Narcissus,Cameron,SDU,false,1/23/2023
Blackthorn,Iddon,SDU,false,4/23/2022
"Autobiography of Nicolae Ceausescu, The (Autobiografia lui Nicolae Ceausescu)",Vince,CCW,true,
"Walk Among the Tombstones, A",Mixhel,JSA,false,
"Lost Battalion, The",Kenningham,JSA,false,12/22/2022
Fool for Love,Blumire,JSA,true,
"Motivation, The",Rose,CCW,false,
Outfoxed: Rupert Murdoch's War on Journalism,Hindes,CCW,false,
Virus X,Lisle,CCW,true,
Dark Ride,Castagnone,JSA,true,7/3/2022
Shepard & Dark,Eldred,JSA,false,4/10/2023
"Adventures of Picasso, The (Picassos äventyr)",Pickless,SDU,false,
I Am Not a Hipster,Roxby,CCW,false,
Acts of Worship ,Feares,JSA,false,
Outsider,Hellis,JSA,true,2/14/2023
Love Ghost (Shibito no koiwazura),Fforde,JSA,false,3/5/2023
"Chair, The",D'Arrigo,SDU,true,
"Ghostmaker, The (Box of Shadows)",Stitwell,JSA,true,4/27/2023
Man Trouble,Eskrick,JSA,true,12/2/2022
Man of Iron (Czlowiek z Zelaza),MacQueen,JSA,true,
Last of the Red Hot Lovers,Byass,CCW,false,1/21/2023
Ceremony,Lermit,JSA,false,
My Kingdom,Othen,CCW,false,
"Ides of March, The",Zanneli,CCW,false,2/21/2022
"Bridge on the River Kwai, The",Wilmot,CCW,false,9/29/2022
Let the Fire Burn,Kevern,SDU,true,4/6/2022
"Bourne Ultimatum, The",Salan,SDU,true,4/28/2022
Bleeder,Smewin,CCW,false,1/25/2023
"Farewell, The (Abschied - Brechts letzter Sommer)",Cheale,SDU,false,12/2/2022
Gotti,Loche,JSA,true,3/5/2023
"Craft, The",Woolam,CCW,false,
"Bridges of Madison County, The",Stump,CCW,true,3/22/2023
Scenic Route,Tebald,CCW,true,
Murder by Decree,Bunker,JSA,true,
Widows' Peak,Ledram,SDU,true,12/6/2022
Hippie Masala - Forever in India,Rannald,CCW,true,6/14/2022
Ghosts of Girlfriends Past,Feldstein,JSA,false,3/1/2022
Conman (Du Xia 1999),Hentzeler,SDU,true,
"She No Longer Talks, She Shoots",Woodwin,CCW,true,10/25/2022
"Killer, The (Die xue shuang xiong)",Hardin,SDU,true,
Fatso,Vincent,JSA,true,7/4/2022
Ordinary People,Garces,CCW,true,
Searching for Bobby Fischer,Humblestone,SDU,false,
"Homesman, The",Garratty,SDU,true,
Gangster Squad,Jeays,CCW,false,2/25/2023
The Trans-Atlantic Mystery,Johnson,CCW,false,12/26/2022
Subject Two,Criag,JSA,false,2/23/2023
"Foster Brothers, The (Süt kardesler)",Tregidgo,JSA,true,
Scooby-Doo! and the Witch's Ghost,Race,JSA,false,
"Satanic Rites of Dracula, The",Bernardino,CCW,true,
Dead of Winter,Topaz,SDU,true,10/18/2022
Gozu (Gokudô kyôfu dai-gekijô: Gozu),Caillou,CCW,false,
Life's a Breeze,Holde,JSA,true,4/22/2022
"Ramen Girl, The",Ecles,CCW,true,
Björk at the Royal Opera House,Barnaclough,SDU,false,12/10/2022
